 Morbidade Hospitalar do SUS - por local de internação - Sergipe
Internações por Município
Período:Jan/2008-Ago/2020
"Município";"Internações"
"280020 Aquidabã";15236
"280030 Aracaju";719893
"280067 Boquim";222
"280100 Campo do Brito";7
"280120 Canindé de São Francisco";2594
"280130 Capela";35360
"280140 Carira";59
"280210 Estância";91978
"280290 Itabaiana";101285
"280300 Itabaianinha";144
"280320 Itaporanga d'Ajuda";253
"280340 Japoatã";7687
"280350 Lagarto";79769
"280440 Neópolis";5780
"280450 Nossa Senhora da Glória";24997
"280480 Nossa Senhora do Socorro";35235
"280540 Poço Redondo";83
"280550 Poço Verde";87
"280560 Porto da Folha";23
"280570 Propriá";23932
"280590 Riachuelo";20328
"280600 Ribeirópolis";335
"280670 São Cristóvão";5015
"280710 Simão Dias";939
"280740 Tobias Barreto";633
"Total";1171874
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
